,No,Comment,Class
954,955,2 billion for this shit?﻿,0
1220,1221,#2015 FUCK YEAH﻿,0
659,660,Eminem rap can be easy for a boy but I can do that﻿,0
463,464,Best song ever!!!!﻿,0
186,187,  Check out my SEXY VIDEO :*,1
608,609,Looooooooove this song!!!!!!!!!:))))))﻿,0
143,144,Hi. Check out and share our songs.,1
751,752,Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! ♥♥♥♥♥♥﻿,0
981,982,this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿,1
197,198,"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem",1
883,884,With the korean girl more slut and bitch : Hyuna :'33﻿,0
279,280,"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",1
293,294,tryna work with some rappers check out the ones i already have on my channel,1
1181,1182,Check out this video on YouTube:﻿,1
400,401,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",1
122,123,adf.ly /KlD3Y,1
202,203,"HEY GUYS!!! ❤❤❤❤❤❤❤  BEFORE YOU IGNORE ME, PLEASE, GIVE ME A CHANCE!  My name is Yuliya, I make COVERS. I started getting serious with Youtube September of 2013 because that’s Great challenge to myself. MY DREAM was to become a singer. Youtube helps me keep up! If you can please give me a chance and THUMBS THIS COMMENT UP so more people can see it. I swear I&#39;ll appreciate it. SUBSCRIBE PLEASE!!!  ❤❤❤ LOVE YOU!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ ",1
835,836,Omg! This guy sounds like an american professor green﻿,0
246,247,do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity,1
1235,1236,Love this song﻿,0
1223,1224,Check out this video on YouTube:﻿,1
384,385,https://www.facebook.com/profile.php?id=100007085325116﻿,1
854,855,This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿,0
219,220,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the wood photograph the husky breath? When does the act retain the delightful system? The rhythm fabricates the scintillating harbor.",1
641,642,awesome﻿,0
1,2,and how many subscribers compared to her over a million,1
112,113,shakira is the best!,0
698,699,Anyone else think this video theme is a bit of an insult to 28 days later? ﻿,0
1242,1243,░░░░░░░/\░░░░░▄▐<br />░░░░░░/     \░░░▄██▄<br />░░░░░/  (o)   \░░░░░▀█▄<br />░░░░/             \░░░░░░▀█▄<br />░░░/__   \   ░▄▄▄▄▄▀▀<br />░░░░▄▄▄██▀▀▀▀<br />░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI<br />░░░▌░▄▄▄▐▌▀▀▀<br />▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED <br />▀█▌░░░▄░▀█▀░▀ <br />░░░░░░░▄▄▐▌▄▄<br />░░░░░░░▀███▀█░▄<br />░░░░░░▐▌▀▄▀▄▀▐▄<br />░░░░░░▐▀░░░░░░▐▌<br />░░░░░░█░░░░░░░░█<br />░░░░░▐▌░░░░░░░░░█<br />░░░░░█░░░░░░░░░░▐▌﻿,1
951,952,Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts﻿,1
1145,1146,I love﻿,0
1171,1172,i love her﻿,0
441,442,cool﻿,0
1136,1137,Made in china....﻿,0
663,664,Your the best♣♥﻿,0
1188,1189,Fantastic!﻿,0
317,318,share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna,1
648,649,"&lt;script&gt;document.write('&lt;a target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt='+Math.floor(Math.random()*999999999)+'""&gt;');&lt;/script&gt;&lt;noscript&gt;&lt;a  target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt=[CACHEBUSTER] ""&gt;&lt;/noscript&gt;﻿",1
709,710,Check out this video on YouTube:﻿,1
972,973,Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿,0
627,628,http://www.twitch.tv/daconnormc﻿,1
632,633,Great song﻿,0
1267,1268,"mindblowing dance.,.,.superbbb song﻿",0
1199,1200,Awesome﻿,0
795,796,OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE﻿,0
645,646,LIKE AND SUBSCRIBE﻿,1
1012,1013,Shakira is my favourite singer. Wooooo﻿,0
556,557,Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,1
681,682,this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,1
577,578,SUBSCRIBE me. if you do that leave your name so i can subs back ﻿,1
1109,1110,"I can't comprehend why this video has nearly 700,000,000 views. Some people  found 'Gangnam Style' funny so that explains its high view count but this  is just an awful pop song. I really have no clue on this one.﻿",0
524,525,this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,0
1059,1060,Take a look at this video on YouTube:﻿,1
540,541,Can somebody wake me up when we get to 3 billion views.﻿,0
748,749,http://www.gofundme.com/gvr7xg﻿,1
1202,1203,subscribe to me and I wil subscribe to you back﻿,1
484,485,"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿",1
95,96,Subscribe to my channel :)  &lt,1
1020,1021,If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0
563,564,Hello from Russia comes to the channel subscribe﻿,1
742,743,Oppa! Yeah! Best Song!﻿,0
863,864,Check out this video on YouTube:﻿,1
891,892,Check out this video on YouTube:﻿,1
1038,1039,I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,0
206,207,"My friends wife earns 4000DOLLARS a month ,you can do it do if you want to be a wwhore ,you can not get these type of wages for working from home on a PC taking surveys ...dont believe that shit,just because yahoo and other are taking their money does not mean they are LEGIT ..Please like this so the MSG gets thru to vulnerable  people Like eminem used to be ",1
392,393,I love this song so much!:-D I've heard it so much I pretty much memorized  the lyrics﻿,0
794,795,I LOVE YOUR SONGS﻿,0
870,871,https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,1
397,398,LoL﻿,0
766,767,She is a perfect wonder.....﻿,0
1192,1193,subscribe to me :) ﻿,1
1028,1029,Check out pivot animations in my channel﻿,1
642,643,Subscribe me and i subscribe you back!!﻿,1
612,613,Check out this playlist on YouTube: I tried﻿,1
960,961,I felt old when I realized that this song was 5 years old...﻿,0
725,726,PSY is a good guy﻿,0
683,684,She is fit﻿,0
98,99,Love this song!!!,0
804,805,Check out this video on YouTube:﻿,1
406,407,This song is just really fun ﻿,0
502,503,Good times. ﻿,0
1071,1072,That's Good :)﻿,0
1056,1057,Wow 23 min ago﻿,0
929,930,Please check out my acoustic cover channel :) thanks ﻿,1
779,780,Subscribe and Win a CAP<br />       ☆☆☆☆☆﻿,1
200,201,if you need youtube subscriber mail hermann buchmair on fb,1
134,135,Waka waka she rules,0
1051,1052,"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",0
40,41,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1
1017,1018,Check out this video on YouTube:﻿,1
230,231,Check out my channel for funny skits! Thanks!,1
378,379,subscribe like comment﻿,1
288,289,Subscribe To Mê Please Guys,1
418,419,Hey ! Subscribe  to me for the peace in the world ! ♥﻿,1
391,392,Check out this video on YouTube:﻿,1
592,593,http://hackfbaccountlive.com/?ref=5242575﻿,1
1162,1163,"Came here to check the views, goodbye.﻿",0
1086,1087,"see this<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX﻿",1
647,648,fucking love it omg :v﻿,0
1152,1153,Check out this video on YouTube:﻿,1
520,521,Still a very fun music video to watch! ﻿,0
64,65,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
14,15,beautiful,0
1180,1181,Check out this video on YouTube:﻿,1
1064,1065,WELL THIS DUDES FADED THE FUCK OUT!﻿,0
492,493,Get free gift cards and pay pal money!﻿,1
379,380,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0
187,188,ayyy can u guys please check out my rap video im 16 n im juss tryna get some love please chrck it out an thank u,1
763,764,Check out this video on YouTube:<br />﻿,1
216,217,check out eminem latest track survival if u didnt,1
791,792,"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",0
1076,1077,Check out this playlist on YouTube:hbbhhhgh﻿,1
878,879,sorry to all my haters<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />for party rock en﻿,0
337,338,marketglory . com/strategygame/andrijamatf earn real money from game,1
719,720,Check out this playlist on YouTube:﻿,1
295,296,Every weekend a new lyric video of Eminem here VIEW LIKE SUBSCRIBE,1
1016,1017,2015 but Im still listening to this!﻿,0
455,456,Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.﻿,1
815,816,You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,0
269,270,if u love rihanna subscribe me,1
995,996,best song ever (y)﻿,0
201,202,check out my channel for rap and hip hop music,1
161,162,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Duzafizz . Singlewave . Spourmo . Burder . Colorful . Claster . Incandescent . Ambitious . Winooze . Absorbing . Macabre . Crestboot . Boxium . Womanly . Tan . Ybuwyn . Forgetful . Pepelexa . Zealous",1
729,730,Subscribe me Secret videos :D﻿,1
401,402,Check out this video on YouTube:﻿,1
702,703,Check out this video on YouTube:﻿,1
1129,1130,"At 500 subscribers i&#39;m sky diving help me reach my goal &lt;3<br />Trust me, i&#39;m a doctor.  :)﻿",1
565,566,Check out this playlist on YouTube:﻿,1
1021,1022,Eminem and Rihanna sing the song very well.﻿,0
1025,1026,Waka waka eh eh﻿,0
1104,1105,shakira is best for worldcup﻿,0
205,206,im M.E.S an aspiring young rapper with high hopes.  i know you will not click this link and check out my channel. you just dont want to.  well its your choice. in fact you know what DONT CLICK,1
34,35,please visit our web: wellcomemd.blogfa.com,1
775,776,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1
508,509,Best song ever made i swear :D i still hear even doe it old!! who else?﻿,0
1280,1281,Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00﻿,1
91,92,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The meat discusss the successful memory. How does the peaceful unit arbitrate the guide? The addition designs the worried loss.",1
897,898,"I love this-the talents of eminem and Skylar,works well together﻿",0
564,565,"<a href=""https://m.freemyapps.com/share/url/505b0232"">https://m.freemyapps.com/share/url/505b0232</a>﻿",1
776,777,hey guys!! visit my channel pleaase (i'm searching a dream)﻿,1
241,242,check out my new EM cover video trailer,1
13,14,Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow,1
315,316,WATCH MY VIDEOS AND SUBSCRIBE,1
600,601,Party rock due and duel﻿,0
387,388,"This is so cool,why haven&#39;t I heard this before?﻿",0
166,167,Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,1
840,841,Super awesome video<br />﻿,0
20,21,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
646,647,Amazing song﻿,0
1154,1155,Subscribe if you are watching in 2015﻿,1
831,832,I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,0
562,563,Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1
1266,1267,Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿,1
686,687,VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1﻿,1
957,958,"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",1
189,190,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1
975,976,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.﻿",0
699,700,You are the music hero😍😎﻿,0
510,511,Check out this playlist on YouTube:👿👳👳👳👳👳﻿,1
1082,1083,"KATY PERRY, I AM THE ""DÉCIO CABELO"", ""DECIO HAIR"". I AM 60 YEARS OF AGE. I  DON""T HAVE FAMILY. I""M SINGLE. ALONE. HOMELESS. I WAS AN ALCOHOLIC: 15 AT  THE AGE OF 46. I AM AN INVISIBLE COMPOSER. MY DREAM IS TO RECORD MY SONGS.  COULD YOU HELP ME? PLEASE! PLEASE! I TRUST THAT THE YOU WILL GIVE ME A  CHANCE. I HAVE 109 VIDEOS IN THE YOUTUBE: deciocabelo canal. KATY PERRY, I  WAS BORN IN OCTOBER 25, TOO. THANK YOU VERY MUCH!!! DECIO HAIR.﻿",1
474,475,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1
856,857,Every single one of his songs brings me back to place I can never go back to and it hurts so bad inside﻿,0
747,748,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿,1
252,253,Hay dakota u earned a subscribee,1
21,22,her voice is so wow!,0
459,460,She looks like Megan Fox 😂 xD!!﻿,0
1184,1185,I know it old song but (like) if you watching in 2015﻿,0
276,277,"i been working so hard for the past 60 days to improve i been writing/recording/mixing/performing 16 bars everyday im doing it for a whole year(365 days) today i&#39;m on day 60 today i work so hard now i&#39;m doing 2 verses everyday to improve i&#39;m going all the way to 365 PLEASE SUBSCRIBE to my channel  help me build a fan base ,watch me improve,help me get closer to my dream i&#39;m lyrical and i keep it real i won&#39;t leave you down i promise(: PLEASE SUBSCRIBE please like this  commment so people can see",1
955,956,This looks so fun and it's a good song﻿,0
1215,1216,(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,1
385,386,Who knows the name of that girl?.. and that one.. and that one...﻿,0
805,806,We need to get this to 1 Billion Views!!﻿,0
343,344,NICE :3﻿,0
769,770,I found out this song now﻿,0
130,131,i can to make money,1
871,872,LOVE IT!!!!!!!﻿,0
1123,1124,Check out this video on YouTube:﻿,1
87,88,i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,0
330,331,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
1238,1239,Beautiful song﻿,0
466,467,Hi loving it﻿,0
121,122,Check Out Daneja Good Girl,1
1044,1045,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",0
1095,1096,I remember when everyone was obsessed with Gangnam Style 😗﻿,0
1130,1131,I remember back when this was so popular everyone on our school was shuffling it was crazy﻿,0
1294,1295,"Party rock anthem is love,party rock anthem is life﻿",0
860,861,Check out this playlist on YouTube:pl﻿,1
1126,1127,like the songs﻿,0
